Community ID,flow0,flow1,flow2,flow3,flow4,flow5,flow6,flow7,flow8,flow9,flow10,flow11,flow12,flow13,flow14,flow15,flow16,flow17,flow18,flow19,flow20,flow21,flow22,flow23,flow24,flow25,flow26,flow27,flow28,flow29,flow30,flow31,flow32,flow33,flow34,flow35,flow36,flow37,flow38,flow39,flow40,flow41,flow42,flow43,flow44,flow45,flow46,flow47
189,0.043,0.1127,0.1646,0.2159,0.2853,0.403,0.6229,1.0651,1.6276,2.1458,2.7074,3.389,3.9902,4.483,4.9953,5.5247,6.1463,7.0819,7.7025,8.1917,8.6226,8.8742,9.0624,9.1518,9.1928,9.2574,9.3162,9.3697,9.4337,9.5499,9.7793,10.2068,10.7693,11.3005,11.84,12.5177,13.1197,13.6197,14.123,14.6644,15.2894,16.2408,16.856,17.3611,17.8108,18.0522,18.248,18.34
190,0.0073,0.0242,0.0347,0.0444,0.0626,0.1134,0.2502,0.4656,0.6405,0.8169,0.9943,1.2107,1.3801,1.5852,1.7865,1.9733,2.1595,2.3879,2.5588,2.7023,2.8058,2.8775,2.9189,2.9364,2.9465,2.958,2.9703,2.9809,3.0049,3.0553,3.197,3.4244,3.6043,3.7782,3.9634,4.1757,4.3539,4.5358,4.7404,4.9238,5.0996,5.3315,5.5522,5.7744,5.9214,6.0337,6.0993,6.124
191,0.0453,0.1031,0.1494,0.1923,0.2554,0.4065,0.7386,1.3745,2.0278,2.64,3.2354,3.8651,4.407,5.0017,5.5661,6.0934,6.7137,7.4837,8.152,8.8947,9.6424,10.1931,10.4766,10.5718,10.6142,10.6706,10.7148,10.7505,10.8056,10.9449,11.277,11.9257,12.5803,13.1788,13.7772,14.4149,14.9574,15.5331,16.0571,16.5797,17.185,17.9252,18.6035,19.2963,20.0269,20.6068,20.9312,21.0374
192,0.0726,0.1683,0.2442,0.3222,0.4428,0.7572,1.3484,2.215,2.9579,3.5722,4.1556,4.7637,5.2904,5.8081,6.3515,6.8853,7.4738,8.1613,8.7994,9.4966,10.0767,10.5159,10.7962,10.9198,10.9828,11.0681,11.1417,11.2253,11.3478,11.643,12.2429,13.1254,13.8522,14.4627,15.0286,15.652,16.1484,16.6501,17.151,17.6803,18.2693,18.9538,19.6163,20.3102,20.9683,21.4494,21.7815,21.9358
193,0.0702,0.1721,0.264,0.3537,0.4834,0.7979,1.4118,2.4892,3.396,4.126,4.8147,5.5248,6.1535,6.7638,7.3931,8.0461,8.8171,9.7717,10.5678,11.3716,12.004,12.4559,12.7414,12.8664,12.9281,13.0173,13.1133,13.2031,13.3383,13.6416,14.2708,15.409,16.3149,17.0428,17.7215,18.4558,19.0742,19.6426,20.2429,20.911,21.6456,22.5359,23.3606,24.1965,24.8967,25.3921,25.7157,25.8594
194,0.0048,0.0092,0.014,0.0199,0.0264,0.0446,0.0929,0.1453,0.2238,0.3197,0.4129,0.5032,0.5838,0.6702,0.7558,0.8345,0.9069,0.9762,1.028,1.0753,1.0994,1.1167,1.1316,1.1368,1.1405,1.1445,1.1494,1.1532,1.1618,1.1789,1.2252,1.2756,1.3429,1.4234,1.5003,1.5862,1.6574,1.7306,1.8087,1.888,1.97,2.0473,2.1087,2.1691,2.2231,2.258,2.2821,2.291
195,0.0039,0.0075,0.0112,0.0157,0.0231,0.0387,0.0799,0.1253,0.1767,0.2268,0.2781,0.3321,0.3709,0.4154,0.4573,0.5049,0.5469,0.5878,0.6197,0.6499,0.6669,0.6806,0.6911,0.6968,0.6995,0.7032,0.707,0.712,0.7176,0.7316,0.7787,0.8271,0.8776,0.9265,0.9821,1.0403,1.0808,1.1193,1.1572,1.2038,1.2445,1.2837,1.3173,1.3613,1.4018,1.4212,1.4331,1.4382
196,0.0031,0.0092,0.0146,0.0197,0.0276,0.0495,0.1038,0.161,0.2379,0.3081,0.3874,0.4807,0.5549,0.6289,0.6893,0.759,0.8339,0.9097,0.9605,1.0013,1.0332,1.0507,1.0621,1.0704,1.0756,1.0814,1.0877,1.0933,1.1023,1.1253,1.1755,1.2412,1.3181,1.3982,1.4845,1.5719,1.6375,1.7103,1.7899,1.8834,1.9723,2.0464,2.1003,2.1658,2.212,2.2477,2.2666,2.2766
197,0.0943,0.2187,0.3359,0.4526,0.5978,0.7969,1.1212,1.5606,2.0004,2.4252,2.8505,3.2772,3.6436,4.0081,4.3855,4.7707,5.1851,5.6026,5.9856,6.3818,6.7371,7.0283,7.2634,7.3902,7.475,7.5843,7.6854,7.7845,7.9008,8.0926,8.3906,8.8015,9.2212,9.6303,10.038,10.4624,10.8078,11.1504,11.5072,11.8879,12.2759,12.6934,13.0774,13.4783,13.8758,14.2077,14.4726,14.6066
198,0.007,0.0161,0.0287,0.0396,0.057,0.0959,0.1923,0.2782,0.3509,0.4328,0.5226,0.6158,0.6976,0.7786,0.8809,0.9687,1.0488,1.1303,1.2045,1.2744,1.3188,1.3528,1.3739,1.3874,1.394,1.4079,1.4188,1.4296,1.4417,1.4754,1.5718,1.6533,1.7355,1.8242,1.9185,2.0223,2.0963,2.1899,2.2952,2.3872,2.479,2.5616,2.6318,2.7083,2.7633,2.8049,2.8303,2.8428
