Community ID,hci0,hci1,hci2,hci3,hci4,hci5,hci6,hci7,hci8,hci9,hci10,hci11,hci12,hci13,hci14,hci15,hci16,hci17,hci18,hci19,hci20,hci21,hci22,hci23,hci24,hci25,hci26,hci27,hci28,hci29,hci30,hci31,hci32,hci33,hci34,hci35,hci36,hci37,hci38,hci39,hci40,hci41,hci42,hci43,hci44,hci45,hci46,hci47,hci48,hci49
305,63,73.50159522,86.40996514,102.4117891,122.4281338,147.7078759,179.9639043,221.5743418,275.8840454,347.6631753,443.8158692,574.4942117,754.881387,1008.102029,1370.072338,1897.765822,2683.64372,3881.511528,5754.170611,8763.956361,13750.56192,22293.16122,37477.60696,65593.98373,120076.858,231148.3632,470847.722,1022406.6,2387243.529,6056133.497,16901088.14,52672633.65,186718945.4,770166439.5,3802755417,23299200861,1.86E+11,2.04E+12,3.35E+13,9.22E+14,4.93E+16,6.42E+18,2.84E+21,7.19E+24,2.50E+29,5.74E+35,2.01E+45,1.65E+61,1.14E+93,3.84E+188
306,62,72.2751127,84.87652541,100.4588879,119.8970943,144.3727726,175.4997847,215.5087083,267.521786,335.968747,427.2255549,550.6120324,719.9778829,956.2724602,1291.794031,1777.37138,2494.790098,3578.846036,5257.572793,7927.834558,12302.04087,19703.1098,32680.77261,56354.91203,101483.1649,191836.1485,382972.7504,813186.1073,1852000.402,4569407.485,12360977.33,37198241.45,126756977.6,499938932.9,2345591539,13553293533,1.01E+11,1.02E+12,1.54E+13,3.77E+14,1.77E+16,1.95E+18,7.00E+20,1.36E+24,3.29E+28,4.55E+34,7.46E+43,1.72E+59,9.23E+89,1.47E+182
307,59,69.06443816,81.44825221,96.81351712,116.0477913,140.3536364,171.3789184,211.4089697,263.6539403,332.6848857,425.1060576,550.6088442,723.6538445,966.2073154,1312.285187,1815.66677,2563.303483,3699.231355,5468.411894,8299.557068,12966.79067,20916.60693,34955.36381,60757.9007,110337.3539,210451.5945,424180.4635,909995.7732,2095595.77,5232955.637,14342620,43785673.03,151584853.8,608461284.8,2911420713,17199845969,1.31E+11,1.37E+12,2.13E+13,5.44E+14,2.67E+16,3.13E+18,1.21E+21,2.57E+24,7.05E+28,1.16E+35,2.48E+44,8.82E+59,1.14E+91,2.50E+184
308,60,69.81975096,81.82881998,96.63439167,115.0450945,138.1490535,167.4266925,204.9158562,253.4568227,317.0611387,401.4754452,515.0576,670.1620681,885.3719451,1189.167767,1626.089133,2267.325306,3229.378607,4707.854308,7040.453652,10828.20442,17177.00137,28197.4491,48083.17106,85546.0818,159601.9674,314110.6401,656683.8447,1470387.629,3560919.17,9437361.512,27763549.76,92254113.89,353760780.1,1608070947,8964775452,64032193921,6.20E+11,8.80E+12,2.03E+14,8.78E+15,8.82E+17,2.81E+20,4.68E+23,9.27E+27,9.66E+33,1.04E+43,1.18E+58,1.54E+88,3.56E+178
309,56,64.2016741,74.07599562,86.05184749,100.6905549,118.7338759,141.1720413,169.3413835,205.066207,250.867751,310.2764164,388.3054713,492.1815697,632.4911301,825.0132338,1093.709536,1475.707899,2029.804603,2851.338455,4098.93012,6043.99418,9165.41933,14337.10772,23214.06085,39061.68685,68622.68284,126544.103,246502.4035,511036.8206,1137626.978,2748537.797,7300810.824,21660497.84,73192719.6,288643397.9,1370142929,8145718929,63886298259,7.08E+11,1.22E+13,3.73E+14,2.45E+16,4.58E+18,3.85E+21,3.07E+25,8.98E+30,1.43E+39,6.77E+52,1.54E+80,1.88E+162
310,63,73.09013814,85.41579346,100.5951443,119.4512416,143.0913967,173.0219452,211.3162977,260.8644044,325.7484876,411.8177647,527.5821469,685.6266068,904.8920809,1214.428752,1659.707439,2313.482992,3294.969109,4804.616733,7189.08134,11066.53742,17576.99275,28901.76898,49387.76764,88095.66052,164878.1643,325725.0731,684034.6426,1539784.31,3752335.652,10017743.44,29724801.81,99768492.2,387112088,1784241097,10111055605,73636072531,7.30E+11,1.07E+13,2.54E+14,1.15E+16,1.21E+18,4.14E+20,7.51E+23,1.68E+28,2.07E+34,2.87E+43,5.01E+58,1.56E+89,4.96E+180
311,55,62.62388518,71.73248357,82.6903104,95.96985315,112.1891449,132.1644266,156.9848028,188.1193576,227.5728275,278.1149396,343.6232082,429.6033023,543.9921244,698.4193083,910.2267677,1205.768418,1625.921309,2235.511155,3139.85182,4514.588296,6661.202356,10113.7256,15851.48299,25740.48019,43490.38541,76833.13461,142759.5094,280894.926,590084.3386,1336516.821,3302785.125,9035097.213,27855801.35,98982508.72,417047480.3,2160938123,14442756675,1.33E+11,1.83E+12,4.26E+13,2.00E+15,2.47E+17,1.21E+20,4.70E+23,4.97E+28,1.72E+36,6.35E+48,8.74E+73,2.31E+149
312,59,67.70209397,78.20376106,90.97257463,106.6223066,125.9665278,150.0948531,180.4827173,219.1514706,268.9050637,333.6850747,419.1115434,533.320556,688.2844887,901.9327247,1201.627963,1629.990273,2254.886591,3187.005699,4611.641444,6847.914814,10462.77572,16498.40471,26943.86263,45756.24143,81178.89426,151288.6275,298071.0292,625560.1685,1411125.556,3458623.435,9331770.56,28163906.47,96977049.54,390495815.1,1897226525,11578245548,93546300731,1.07E+12,1.92E+13,6.16E+14,4.28E+16,8.60E+18,7.90E+21,7.09E+25,2.44E+31,4.96E+39,3.52E+53,1.79E+81,2.43E+164
313,26,28.62864959,31.67974859,35.24234887,39.42864368,44.38113203,50.28236816,57.36836614,65.94723302,76.42537195,89.34478825,105.4369048,125.7012874,151.5225441,184.8467105,228.4519901,286.3720555,364.5711291,472.0438887,622.6495006,838.2475071,1154.20805,1629.386814,2364.78042,3539.687394,5484.621743,8834.894882,14870.20682,26307.38692,49267.24598,98502.42675,212425.5847,500370.3263,1307484.528,3864203.161,13238035.14,54254321.5,277214611.4,1865806064,17830874132,2.69E+11,7.44E+12,4.74E+14,9.96E+16,1.25E+20,2.75E+24,9.06E+30,6.66E+41,3.66E+63,6.27E+128
314,27,29.72553705,32.87903752,36.5480788,40.84228882,45.89995488,51.89693974,59.05882938,67.67765623,78.13517702,90.93565538,106.7526092,126.4963621,151.4130501,183.2319456,224.3882654,278.3660616,350.2358973,447.5151753,581.5751449,769.9971021,1040.620978,1438.699798,2039.93649,2975.052617,4477.838464,6983.059335,11335.24354,19257.14836,34462.5852,65475.75019,133316.3305,294278.878,714310.3063,1940842.668,6037427.626,22133437.33,99317924.45,573741753.7,4571060361,55308380992,1.17E+12,5.31E+13,7.20E+15,5.04E+18,4.88E+22,4.67E+28,4.37E+38,3.89E+58,2.79E+118
